name,rank,overallScore,teachingScore,internationalOutlook,industryIncome,research,citations,textBelow
University of Bergen ,226-250,,28.3,71.0,41.1,26.8,66.2,"Among Bergen's six faculties is the Nordic world's only self-contained Faculty of Psychology. Besides its faculties and three centres, the university has four departments - the Grieg Academy's department of music among them. Although founded in 1946, the university is direct heir to academic activity at Bergen Museum from 1825 onwards. It has 3,200 staff and 14,500 students."
Chalmers University of Technology ,226-250,,29.9,65.3,78.5,41.5,47.7,"Founded in 1829, this Swedish institution adopted its French motto - ""Avancez!"" - from that of its founder, the director of the Swedish East India Company, William Chalmers. It has more than 9,000 students and around 1,600 academic staff in 17 scientific and technological departments."
Technische Universität Darmstadt ,226-250,,37.8,64.4,84.4,31.8,44.4,"Founded in 1877, Darmstadt is devoted to the study of technology, engineering, the natural sciences, the humanities and social sciences. It has about 270 professors and 23,000 students."
Florida Institute of Technology,226-250,,16.2,58.4,28.7,11.9,92.5,"The Florida Institute of Technology was opened in 1958 to provide advanced education for professionals working on the nascent US space programme. Its five colleges are overseen by around 220 full-time and 80 part-time academic staff. Since its inception, more than 50,000 students have earned degrees at Florida Tech."
Bilkent University ,226-250,,34.7,42.0,39.9,30.5,60.1,"Bilkent University is recognised and ranked internationally as the premier institution of higher education in Turkey. Located in the country's capital city Ankara, a vibrant metropolis of 4.5 million, Bilkent is a hub of academic, social, and cultural activity.,Founded in 1984, Bilkent University is Turkey's first private, non-profit institution of higher education. With world-renowned scholars among its faculty and top-notch facilities throughout its campus, Bilkent attracts the brightest students. The University hosts 13,000 students seeking degrees in 32 undergraduate and 47 graduate programs. Over 40% of Bilkent University's student body benefits from a variety of generous scholarships. ,The medium of instruction at Bilkent University is English. Bilkent prides itself on its truly international perspective, where the international community of scholars and students forms an essential component of academic programs, research activities, and social life. International faculty members make up more than a quarter of all academic staff and represent 40 different countries. There is also a growing body of full-time international students, as well as exchange students visiting from more than 200 partner institutions worldwide. ,Chief among the factors that ensure a high standard of education is a highly productive faculty body, eminent in their fields. According to ISI Citation Indexes, academic papers published by Bilkent faculty have a sizable footprint in literature. The University continuously invests in new educational and research technologies, providing a dynamic learning and research environment. Facilities include cutting-edge research laboratories, extensive computer and internet infrastructure, modern classrooms, and state-of-the-art studios. Students take part in projects that utilize high-tech research facilities such as nanotechnology centers, clean room laboratories, microbiology and genetics laboratories, and digital content creation and editing laboratories.,The Bilkent University Library is the most extensive academic library in the country, visited by over 800,000 students and researchers annually. In addition to its large collection of books, the Library provides on-site and remote access to a large selection of journals and databases.,The 1,200-acre Bilkent campus and environs provide many options for engaging with the University community. The world-renowned Bilkent Symphony Orchestra offers weekly performances during the academic year. Radio Bilkent provides a mix of international hits and sponsors many activities on campus. Students clubs number around 100 and engage students on topics from martial arts to social activism. The campus features two art galleries that display travelling exhibitions in addition to the many smaller venues for showcasing student and faculty art. Students find many daily choices from lecture and film series offerings to outdoor concerts. ,Bilkent University provides on-campus housing for the duration of a student's stay. The dormitories provide a safe and comfortable environment for 4,000 students. Students who live off-campus commute via a frequent and free shuttle system. In addition to snack bars in all the dormitories, Bilkent campus and adjacent areas feature a wide variety of eateries, cafeterias, cafés, and coffee shops for enjoying a quick snack or a full meal with friends. ,A wide range of indoor and outdoor facilities provide students with many choices of sports activities and competitive events. Student teams compete with local rivals in football, basketball, volleyball and American football. The campus features three sports halls with modern fitness centers, athletic fields, and courts. ,Bilkent University is proud to provide an environment for learning and intellectual growth encompassing the sciences, technology and humanities, and will surely continue to rank amongst the finest universities in the world.,Come to Bilkent and discover the world!"
Carleton University ,226-250,,18.3,56.8,,26.7,75.1,"At its outset in 1942, the institution once known as Carleton College offered only evening classes at the introductory level. Today, its student body of more than 25,000 includes over 5,000 part-timers. It has an academic staff of around 880 scholars, five colleges and a business school."
Koç University,226-250,,20.4,52.8,37.9,22.3,79.2,"Koç University is a leading research and liberal arts university located in Istanbul, Turkey. Recognized globally for facilitating cutting edge research in its full collection of Colleges, including Administrative Sciences & Economics, Engineering, Natural Sciences, Humanities & Social Sciences, Law and Medicine, Koç University, in the twenty years since its establishment, has been distinguished by its notable contributions to the elevation of education, knowledge and service both domestically and beyond.,With its strong academic structure, research opportunities, international achievements, vivid social environment and wide range of job opportunities upon graduation, Koç University distinctively attracts attention. Koç University's commitment to excellence and its well-resourced programs attract prestigious international academicians.,Koç University's Graduate Programs have a powerful research component, interweaving superior academics with required research experience. Similarly, undergraduate students work alongside faculty members onresearch projects. These research activities enhance their creativity and acuity for research.,Conducting scientific and applied research, proposing policies in various arenas and disseminating academic knowledge in social, economic and legal spheres, Koç University's research centers are a uniquely powerful dimension of the institution's emphasis on research.,Among the active research centers within Koç University are:,Koç University is positioned as an excellent research partner in terms of funding research projects in collaboration with national and international public and private institutions (universities, European Commission, public agencies, research and development agencies, business world, and industrial corporations) for research projects. Two of the most exceptional projects that are conducted currently are; Artificial Skin Project, that is undertaken in a interdisciplinary fashion by the professors in Chemistry, Mechanical Engineering and Chemical and Biological Engineering; Cardiovascular Hemodynamics- Great Vessel Embrionic Development Project conducted collaboratively by Professors in Mechanical Engineering and Biomedical Engineering; Metamaterials and Invisibility Cloak Project, carried on by Physics Professors.,The total number of externally funded projects has increased over the years at Koç University and as of May 2013, total number of funded projects are 409 and the total granted amount has exceeded $51,000,000. Regarding research income, the total amount in 2010-2011 has been $7,500,000.,Koç University is national and internationally recognized through its accreditations and memberships. The network of 250+ well known partners around the globe reveals the international positioning and quality of the education as well as the vast range of opportunities for faculty and students.,In addition to the agreements of cooperation, Koç University is glad to be part of the following Networks, memberships and international accreditations, ,Koç University aims to create social impact by enriching future leaders, academia, and staff with experimental learning, advanced knowledge, and valuable networks. It is ""the Social Innovation Catalyzer"" for Civil Society Organizations, business and community to create social impact by helping social organizations tackle current challenges and by engaging businesses more productively with the community through support networks, effective M&E tools, and ongoing development resources.,As a global university with local engagement, Koç University is committed to create value in the surrounding community. To this end, both faculty and students work together with the support of Koç Foundation and external sponsors.,Anatolian Scholarship Program is a one of a kind social responsibility initiative that aims to reach out to students from the developing provinces of Turkey and offers a mechanism through which the donors can directly fund the education of successful students in need. The scholarship includes tuition, room and board, expenses towards acquisition of books and a monthly stipend provided for 10 months throughout the year.,Launched with resources from corporate donors, in 2011 the Program supported 14 students across an array of disciplines.,Global Social Venture Competition is an initiative to catalyze social ventures and create financial sustainable business solutions that address significant social challenges. Koç University was selected to be an Outreach Partner for the Global Social Venture Competition (GSVC) in 2011. Since then, as the Outreach Partner, Koç University fostered innumerable ambitious entrepreneurs with necessary skill workshops and prominent mentors.,KU Global Aid, serves as a frame for student clubs to organize international community service projects, visiting countries in need, around the world.,Koç University graduates succeed professionally in various national and international enterprises, or they pursue advanced degrees at the topmost universities around the world.,Qualifying students will be eligible to receive the following offer when admitted to specific graduate programs:, "
University of Calgary ,226-250,,37.3,62.2,42.8,35.8,47.1,"The University of Calgary is regarded as one of Canada's top seven research institutions. More than 31,000 students are currently enrolled in its undergraduate, graduate and professional-degree programmes. The Canadian prime minister, Stephen Harper, is a Calgary alumnus."
University of Cincinnati ,226-250,,34.9,23.9,35.8,26.5,69.5,"Cincinnati is the first American university to benchmark its services to international students, of whom it has 2,500 drawn from more than 100 countries. They are part of a 40,000-strong student body undertaking around 600 study courses, from two-year associate's degrees to doctoral and postdoctoral education, at 13 colleges."
"Indian Institute of Technology, Kharagpur",226-250,,44.2,16.1,72.4,45.3,39.0,"Founded in 1950, IIT, Kharagpur started life in the grounds of the old Hijli Detention Camp. Today it has 18 academic departments and five centres of excellence. Its vast campus, spread over 2,100 acres, caters for about 550 academics, 1,700 employees and 9,000 students."
