name,rank,overallScore,teachingScore,internationalOutlook,industryIncome,research,citations,textBelow
California Institute of Technology (Caltech),2,96.0,97.7,54.6,83.7,98.0,99.9,"The California Institute of Technology (Caltech) is a highly focused science and engineering research and education institution located in Pasadena, CA. It is home to approximately 2,300 students and 300 faculty, and boasts 31 Nobel laureates among its past and current faculty and alumni. Caltech manages the Jet Propulsion Laboratory (JPL) for NASA, and owns and operates a global network of astronomical observatories and research facilities."
Harvard University ,1,96.1,99.7,72.4,34.5,98.7,98.8,"The oldest academic institute in the US, it dates from 1636 and is named after its first benefactor, John Harvard. It has the global academy's largest financial endowment and boasts more than 40 Nobel laureates. Its 210-acre main campus and 23 satellites house 10 faculties and the Radcliffe Institute for Advanced Study."
Massachusetts Institute of Technology (MIT),3,95.6,97.8,82.3,87.5,91.4,99.9,"In 150 years, the Massachusetts Institute of Technology (MIT) has produced more than 70 Nobel laureates, eight of whom are members of its current faculty. From its 168-acre Charles River campus, more than 10,000 students are instructed in architecture and planning; engineering; humanities, arts and social sciences; management; science; and health sciences and technology."
Stanford University ,4,94.3,98.3,29.5,64.3,98.1,99.2,"Founded in 1891 by railway tycoon Leland Stanford in remembrance of his son, who died aged 16, Stanford is said to be, after Harvard, the US' most selective university, accepting around 7 per cent of applicants. Its alumni founded corporate giants including Hewlett-Packard and Google. The world's third-richest university, it teaches about 7,000 undergraduate and around 4,000 graduate students."
Princeton University,5,94.2,90.9,70.3,,95.4,99.9,"At the heart of American academic life since its charter in 1746, Princeton is one of the smallest of the private Ivy Leaguers, but can boast more than 30 Nobel laureates among its past faculty and alumni. Its 500-acre campus accommodates around 5,000 undergraduates and 2,500 postgraduates overseen by more than 1,100 academics."
University of Oxford ,6,91.2,88.2,77.2,73.5,93.9,95.1,"Twenty-six British prime ministers, at least 30 other world leaders, 12 saints and 20 archbishops of Canterbury have been Oxonians. Oxford virtually invented college life in the 13th century. The world's third-oldest surviving university offers approximately 12,000 undergraduates a choice of 38 colleges and six permanent private-residence halls."
University of Cambridge ,6,91.2,90.5,77.7,57.0,94.1,94.0,"Cambridge alumni loom large in the making of the modern world: Newton on laws and motion; Rutherford splitting the atom; Darwin on evolution; Turing's prototypical computer; Crick and Watson with DNA. Founded in 1209 by Oxford scholars who quit after a dispute with the local citizenry, Cambridge now employs more than 8,500 staff and has over 18,300 students."
"University of California, Berkeley ",8,91.1,84.2,39.6,,99.3,97.8,"Vitamin E was identified here, a lost Scarlatti opera found, the flu virus identified and America's first no-fault divorce law drafted. A gold-rush by-product, the university by San Francisco Bay was chartered in 1868. To date, more than 20 faculty members have become Nobel laureates. Today's student body consists of about 36,000 members, more than 10,000 of them postgraduates."
Imperial College London ,9,90.6,89.2,90.0,92.9,94.5,88.3,"With an emphasis on research, Imperial has four faculties - medicine, natural science, engineering and business. Founded in 1907 as a constituent college of the University of London, it became independent in 2007. Its main campus in London's museum quarter and seven others house more than 1,200 scholars and around 13,000 students."
"University of California, Los Angeles (UCLA)",11,87.7,83.0,48.1,,92.9,93.2,"Close to Hollywood and with a celebrated film and television school, the University of California, Los Angeles (UCLA) is a cinematic magnet. Established in 1919, it has about 26,000 staff and around 38,500 students. A leader in college athletics, the institution comprises five undergraduate colleges, seven professional schools and five health science schools."
Johns Hopkins University ,13,86.4,80.9,58.5,100.0,89.2,92.3,"This institution is named after the Quaker philanthropist whose $3.5 million endowment brought it into being in 1876, just two years after his death. Johns Hopkins teaches more than 6,700 students out of nine schools on three main campuses and eight satellites, including sites in Washington DC, Italy and China."
University of Michigan ,15,83.4,83.9,53.3,59.6,89.1,84.1,"A month before he was elected President, John F. Kennedy came to Michigan and first endorsed the ideal of public service abroad for young Americans that later found expression in the Peace Corps. In 2009, enrolments across 28 schools and colleges on three campuses numbered 58,089, and the institution had amassed 1,400 student organisations and 8 million library books."
Yale University ,10,89.5,92.1,59.2,,89.7,91.5,"America's third-oldest university has nurtured five US presidents and 17 Supreme Court justices. Its endowment is worth more than $16 billion and it has around 12.5 million books in its 24 libraries. Residential colleges and mascots started here. Its Class of 2014 will contain 1,940 students, a record low three-in-40 acceptance rate."
University of Chicago ,12,86.9,79.1,62.8,,87.9,96.9,"Chicago has more postgraduates than undergraduates, underlining its focus on advanced academic exploration. The Chicago School of economics, embracing Milton Friedman's pro-market philosophy, developed here, as did the first self-sustained manmade nuclear reaction. Founded in 1890 with a grant by John D. Rockefeller, Chicago now operates 125 research institutes and centres."
Cornell University ,14,83.9,82.2,62.4,34.7,88.8,88.1,"Ezra Cornell and Andrew Dickson White founded the ""Big Red"" in 1865 to provide education for all, irrespective of race or religion. That ideal still underpins life and learning for around 20,000 students and 6,000 faculty at today's private Ivy League academy, which offers about 4,000 courses in 11 undergraduate and professional schools."
ETH Zürich – Swiss Federal Institute of Technology Zürich ,15,83.4,77.5,93.7,,87.8,83.1,"You don't have to be Albert Einstein to study here - every Swiss citizen who has sat the Matura (matriculation) is eligible - but it doesn't hurt. ETH Zurich (heir to the Federal Polytechnic Institute, set up in 1855) now teaches around 15,000 students in 16 faculties. Einstein received his diploma here in 1901."
University of Toronto ,17,82.0,75.8,,,87.9,82.2,"Established in 1827, the University of Toronto is a vibrant and diverse academic community. It includes 80,000 students, 12,000 colleagues holding faculty appointments, 200 librarians, and 6,000 staff members across three distinctive campuses and at many partner sites, including world-renowned hospitals. ,The University is one of the most respected and influential institutions of higher education and advanced research in the world. Its strengths extend across the full range of disciplines: the 2012-13 , ranking groups the University of Toronto with Stanford, UC Berkeley, UCLA, Columbia, Cambridge, Oxford, the University of Melbourne, and the University of Michigan as the only institutions in the top 27 in all 6 broad disciplinary areas. ,The University is also consistently rated one of Canada's Top 100 employers, and ranks with Harvard and Yale for the top university library resources in North America.,The University of Toronto has three campuses: U of T St. George in downtown Toronto, U of T Mississauga to the west, and U of T Scarborough to the east. ,The campuses have a combined reputation for attracting top faculty and students, producing ground-breaking research and graduating leaders who make a difference in the world.,Every year, the University welcomes students of the highest calibre - not just from the province of Ontario, but also in rising numbers from across Canada and around the world. We invest tens of millions each year in student bursaries and scholarships with one aim in view: to ensure that the very best students can be admitted on merit, not on the basis of personal or parental income. ,Academic programs are structured to capitalize on the breadth and depth of the university and on the teaching strengths of its outstanding faculty. Small-group seminars and tutorials, combined with large lectures and online support, give students the opportunity to develop a spectrum of skills and knowledge. Students are attracted to U of T by the opportunity to work closely with top faculty and to engage in research right from the beginning of their academic careers. As early as first year, U of T students engage in original research through courses, informal volunteer opportunities, summer positions, and national research council-funded internships. In second year, select students are invited to apply to the Research Opportunity Program (ROP), which earns students credit for participating in a year-long, off-campus research project. ROP students have excavated fossil sites in Hungary, learned geophysics field techniques in British Columbia and examined HIV/AIDS-related issues in Namibia.,U of T encourages students to apply their discoveries in the wider world. The university's ""Entrepreneurship 101"" course is increasingly popular, and the new Banting and Best Centre for Innovation and Entrepreneurship provides a home for student- and faculty-spun companies to commercialize their research. ,Outside the classroom, student life at the University of Toronto is rich with opportunities to form close-knit intellectual and social communities. With more than 800 clubs and student-run organizations, every student finds a home.Eco-conscious students can join the Environmental Student Union or volunteer at the U of T greenhouses or community gardens. Students with a love for the arts express their creativity in drama, photography, cinema, art and Bhangra and Hip Hop clubs. Budding journalists and public speakers produce student newspapers and radio shows, craft arguments for debate competitions and volunteer their time teaching media awareness to adolescents.,Communities also form around cultural connections and spiritual ties, including the Kurdish Students Association, the Chinese Magazine club, the Islamic Business Association and the Caribbean Connectionists. Departmental student societies like the Undergraduate Commerce Society and the Historical Studies Society host pub nights, guest lectures and movie nights. ,The breadth and depth of the university's research and teaching strength facilitates interdisciplinary collaboration among faculties and with partner institutions, and lays the foundation for a formidable portfolio of discoveries.The university is a continental leader in knowledge-translation and entrepreneurship, and its close association with the MaRS Discovery District, its ten affiliated teaching hospitals, and its industry partnerships place it at the hub of one of the most productive centres of innovation in North America.,With almost 1,000 invention disclosures filed between 2007 and 2010, U of T is far ahead of any Canadian institution and third among public universities in North America. In 2011 alone, University of Toronto students and faculty generated 25 spin-out companies.,Internationally, the university is developing major collaborative consortia with other research universities, including the Structural Genomics Consortium: a partnership with the Karolinska Institute, Oxford University, and the University of Sao Paulo. And through a USD210-million collaboration with IBM, the university is developing analytical models to provide improved public services - including drinking water, healthcare and energy - in the most efficient ways. ,Faculty members working in and across the full range of disciplines are finding answers to some of the world's most difficult challenges:,While the university is proud of its historical and massive ongoing contributions to research and innovation in Canada, it is ultimately its graduates who constitute U of T's single biggest contribution to the strengthening of communities and the creation of successful and innovative societies. The University claims 500,000 alumni in 175 countries: they are in leadership roles on every continent and in every sphere of human activity with surprising concentrations of influence everywhere from Hollywood to Hong Kong. ,U of T has graduated five Nobel Prize winners, more than any other university in Canada, with a total of 10 Nobel Laureates having been based here during significant points in their careers. ,Among them, The Right Honourable Lester B. Pearson received his BA from the University of Toronto and was awarded the 1957 Nobel Peace Prize for his untiring efforts against world conflict. Pearson also went on to become Canada's 14th Prime Minister. Professor Walter Kohn, co-winner of the 1998 Nobel Prize in Chemistry, is an alumnus of the University of Toronto. And Professor James Orbinski, who received his master's degree in international relations from U of T, accepted the 1999 Nobel Peace Prize on behalf of Doctors Without Borders for pioneering humanitarian work around the world."
Columbia University ,18,81.0,73.8,90.9,,73.8,92.6,"With Barack Obama among its alumni, Columbia awards the annual literary Pulitzer Prize and boasts more Nobel prizewinners than any other institution in the world. It has three undergraduate schools, 13 graduate and professional schools and one of continuing education."
University of Pennsylvania ,19,79.5,71.8,32.9,43.7,82.7,93.6,"About 12,000 members of this Ivy League community are active in 300-plus public service programmes. The world beyond those 279 West Philadelphia campus acres repays their commitment: one in nine first-years hail from overseas. It teaches around 20,600 full-time and 4,000 part-time students."
Carnegie Mellon University ,20,79.3,70.3,39.1,53.7,79.3,95.7,"Many traditions at the 143-acre campus of this research university are Scottish, as was its founder, Andrew Carnegie. CMU is one of the few American universities to offer a degree in bagpipes and it counts at least 16 Nobel, 41 Emmy and four Oscar winners among its alumni. It has more than 11,300 students."
The University of Hong Kong ,21,79.2,68.4,91.4,56.5,71.4,96.1,
University College London (UCL),22,78.4,74.0,90.8,39.0,81.6,80.6,"To find the best shortcut between any two points on its campus, UCL's Centre for Advanced Spatial Analysis has designed a handheld Routefinder. Alumni of Britain's first university to admit women on equal terms include Jonathan Ross, Jonathan Dimbleby, Robert Browning, Jomo Kenyatta and cricketer David Gower. Today, around 21,600 students are served by about 8,000 staff."
University of Washington ,23,78.0,68.2,49.0,32.8,77.1,95.9,"Bill Gates' father is one of 10 university regents at ""U-Dub"", one of the oldest West Coast universities, whose libraries have accumulated more than 7.3 million volumes in 150 years. This scholastic community - around 43,000 students, two-thirds of them undergraduates, working in 140 departments with about 5,800 faculty - is represented by a live mascot, Dubs the Alaskan Malamute."
Northwestern University ,25,75.9,64.5,60.5,,68.8,95.3,"With Ann-Margret, Warren Beatty and Charlton Heston among its alumni, Northwestern's annual musical revue, Waa-Mu, has launched scores on the thespian path. A private university on the shores of Lake Michigan, its 240-acre campus accommodates more than 16,000 students taught by around 2,500 staff."
Georgia Institute of Technology (Georgia Tech),27,75.3,67.9,73.2,95.1,72.6,83.2,"The Georgia Institute of Technology's roots lie in the South's Reconstruction after the US Civil War, changing its name from school to institute in 1948. Its 400-acre city-centre campus caters for around 20,000 students served by a faculty of about 900 scholars in six colleges: architecture; computing; engineering; liberal arts; management; and sciences."
Pohang University of Science and Technology (Postech),28,75.1,69.5,32.6,100.0,62.5,96.5,"""You cannot import talent,"" said the chairman of the Pohang Iron and Steel Company on setting up Pohang University of Science and Technology (Postech) in 1986. Today, this private research academy, with strong links to industry, has nearly 3,100 students and more than 350 scholars on its 378-acre wooded campus in south-east Korea. It also boasts an Institute for Intelligent Robotics."
"University of California, Santa Barbara ",29,75.0,56.6,64.3,89.8,68.0,98.8,"Located on the Pacific coast 100 miles north of Los Angeles, Santa Barbara is the third-oldest of the University of California's 10 general campuses, joining in 1944. Offering courses in the arts, humanities, sciences and engineering, it has around 23,000 students and boasts more than 1,000 scholars, including five Nobel laureates."
University of British Columbia ,30,73.8,65.1,93.3,42.6,74.8,80.3,"The University of British Columbia (UBC), established in 1908, is one of Canada’s leading research universities and is consistently ranked among the top 40 in the world. The university attracts 54,000 students from across Canada and countries around the world to two major campuses.,The University of British Columbia creates an exceptional learning environment that fosters global citizenship, advances a civil and sustainable society, and supports outstanding research to serve the people of British Columbia, Canada and the world.,As a UBC student, you'll be part of a school that is globally recognized for its high academic standards and rich learning environment. UBC’s exceptional record of innovation and sustainability draws expert faculty and inspires the next generation of leaders., ,Why is UBC such a great place for students to learn, grow, and develop? The answer is simple: UBC combines a solid reputation for academic excellence with a flexible, student-centered learning environment. And our location doesn’t hurt either.,Whether you attend UBC’s Vancouver or Okanagan campus, you’ll be surrounded by extraordinary natural beauty. British Columbia’s vast forests, gleaming waters, and epic peaks offer a stunning backdrop for campus life and promise adventure just beyond the city limits.,The largest campus is 30 minutes from the heart of downtown Vancouver, a spectacular location that is a 'must-see' for any visitor to the city — where snow-capped mountains meet ocean, and breathtaking vistas greet you around every corner. The campus is home to more than 37,000 undergraduate and 10,000 graduate students.,Our second major campus is in the dynamic southern interior city of Kelowna in the Okanagan Valley. UBC's Okanagan campus, open since 2005, provides an intimate learning community in the spectacular wine-growing region of British Columbia. The campus educates more than 6,500 undergraduate and 450 graduate students.,Canadians are an ethnically and culturally varied group, and students from over 151 countries around the world attend UBC. That makes for a culturally diverse experience. Both campuses have clubs and spaces that help connect students from a variety of backgrounds., ,A UBC education is a modern leaning experience that will both challenge and inspire you. You’ll join a diverse group of scholars and students from 151 countries—each with a unique perspective to share. To extend the rewards of your education, choose your own adventure from countless opportunities to learn and volunteer in communities around the world.,At UBC, education is about more than just textbooks, labs, and lectures. As an undergraduate, you’ll have the opportunity to contribute to practical, hands-on research and develop innovative solutions to real-world challenges., ,Combine your studies with paid work experience in your field.,Work with a faculty or industry mentor for new ideas, career development, networking, and support.,Get involved with local schools and non-profit organizations that are making a difference in the community.,Go Global lets you meet degree requirements through international service learning (18 projects in 6 countries), student exchange (175 university partners in 42 countries), or taking courses with a UBC professor abroad in a group study program (12 countries).,This program will help you find well-paid, career-related jobs on campus.,UBC was a pioneer in teaching across disciplines, and today we have more integrated first-year programs than any other Canadian university. We passionately believe that this style of teaching is one of the most effective ways for you to become a critical, independent thinker., ,UBC offers 17 faculties, 35 Bachelor degree programs, 212 undergraduate majors and 26 undergraduate interdisciplinary programs., ,Who would you like to guide your learning? How about Nobel laureates, leading-edge researchers, and winners of prestigious teaching awards? At UBC, you can learn from them all.,Our professors push the boundaries of knowledge and help you to develop your analytical skills, refine your ideas, and express those ideas in powerful ways.,As any student who has spent long hours researching or studying can tell you, finding space that’s conducive to learning is crucial. As a UBC student, you’ll have access to state-of-the-art classrooms, libraries, facilities, and technologies. You might think that because UBC is a big university, our classes are big. In reality, we have a variety of classes – lectures, labs, seminars, discussion groups and more – in a variety of class sizes.,Your history course might include a lecture with 150 students and a tutorial for groups of 15. Your science course might include labs with 30 students. ,Consider what UBC professor and Nobel Laureate Carl Wieman said about class sizes in an April 2007 interview for Maclean’s magazine: “You can have a small class in which there’s very little learning, and you can have a large class in which there’s a great deal of learning.” Our professors work to ensure students are engaged in learning, no matter the size of the class.,Did you know?, ,Ask any current UBC student – one of the smartest things you can do while at UBC is to get involved on campus. In fact, studies show that students who participate in student life tend to do better in their academics as well. Between UBC programs, student government, and the hundreds of student-run clubs available, you’ll be sure to find others on campus with interests similar to your own.,What makes a great leader? How can you be part of the solution to local, international, and environmental challenges? UBC has created leadership programs that give you opportunities to challenge yourself, make a difference, and learn new skills., ,You’ll be connected to a global alumni network of 285,000 people in 135 countries. These graduates are scholars, leaders and global citizens that reside throughout the world. Every year, leading professional schools and graduate programs around the world — from Harvard to Oxford — welcome UBC graduates., ,UBC offers career support, workshops, and networking opportunities to help students find employment and develop lifelong career self-management skills. Many programs offer post-graduation placement assistance and internships. Depending on the length of their studies, international graduates are eligible to work in Canada for up to three years after graduation from UBC."
University of North Carolina at Chapel Hill ,30,73.8,70.9,21.5,50.2,75.1,85.0,"The US' first public university, its flagship campus, Chapel Hill, is today one of the world's leading public research universities. More than 28,000 students pursue bachelor's, master's, doctoral and professional degree courses served by around 3,100 faculty members."
Duke University ,24,76.5,66.8,49.4,100.0,71.5,92.3,"A philanthropic foundation by James B. Duke in 1924 began the transformation of Trinity College, a small Methodist institution established in 1838, into today's research university. Its 8,610-acre campus includes a 7,000-acre forest and a coastal marine research centre. It has 10 schools and colleges."
"University of California, San Diego ",32,73.2,59.8,31.6,51.8,76.3,90.8,"UCSD Pascal, a computer language that influenced the programming language Java, was invented here. Not only did UCSD open in 1960, it also became synonymous with Sixties counterculture when faculty member Herbert Marcuse ""occupied"" its administration building. Today it employs eight Nobel and three National Medal of Science laureates among approximately 1,000 faculty teaching about 29,000 students."
The University of Tokyo ,26,75.6,87.7,18.4,,91.9,58.1,"The University of Tokyo (UTokyo) has lead research and education in Japan since our foundation as a national university in 1877. For more than a century, we have been nurturing minds that have gone on to explore space, win Nobel Prizes and expand the frontiers of human knowledge. Today, over 5,500 faculty and over 27,000 students make UTokyo one of the most important global hubs of research and education in one of Asia’s most exciting cities.,UTokyo has long been known as Japan’s premier institution of higher education and for our low student-to-faculty ratio. Our unique liberal arts education provides a sound base in the first half of our four-year undergraduate program, after which our students choose a two-year specialization in line with their interests. We encourage interdisciplinary approaches throughout.,Our graduate schools provide an excellent environment for first-rate intensive research with the world’s leading researchers, and each graduate student can learn at the cutting edge of their field. In recent years UTokyo has established undergraduate and graduate English-language degree programs, such as our undergraduate PEAK program, further promoting campus diversity.,UTokyo is networked with top universities and research institutions from all parts of the world and the flow of students, research and researchers creates a truly global campus. UTokyo also goes abroad to bring our university to the world, through events such as the ,, held in close partnership with globally renowned academic institutions around the world since 2000. ,UTokyo researchers and alumni have expanded the frontiers of human knowledge and their achievements have been recognized in multiple Nobel and other prizes. Yoichiro Nambu and Masatoshi Koshiba have transformed physics, while Kenzaburo Oe and Yasunari Kawabata have enriched global culture through their literary works, to mention just a few. Our website , offers a glimpse into the world of our cutting-edge research."
McGill University ,35,71.7,69.0,85.9,,74.9,69.0,"McGill's notable firsts include the internet search engine, today's version of which reveals that the university was born in 1821 after wealthy fur trader James McGill left 10,000 and 46 acres for its foundation. Today it has about 35,000 students taught out of 11 faculties and 10 schools on two campuses."
University of Illinois at Urbana Champaign ,33,73.0,68.1,55.9,,80.9,72.9,"Spawned amid controversy with its first president pushing for a liberal-arts ""school of thought"" but opposed by others favouring an industrial college, today's twin-city (Urbana and Champaign) academy teaches around 43,000 students enrolled in about 150 courses of study at 17 colleges."
National University of Singapore (NUS),34,72.9,65.5,97.8,40.5,72.6,78.7,"A leading global university centred in Asia, the National University of Singapore (NUS) is Singapore's flagship university, which offers a global approach to education and research with a focus on Asian perspectives and expertise.,Its 16 faculties and schools across three campus locations in Singapore – Kent Ridge, Bukit Timah and Outram – provide a broad-based curriculum underscored by multi-disciplinary courses and cross-faculty enrichment. NUS’ transformative education includes programmes such as student exchange, entrepreneurial internships at NUS Overseas Colleges, and double degree and joint degree programmes with some of the world’s top universities, offering students opportunities and challenges to realise their potential. The learning experience is complemented by a vibrant residential life with avenues for artistic, cultural and sporting pursuits. Over 37,000 students from 100 countries further enrich the community with their diverse social and cultural perspectives.,NUS has three Research Centres of Excellence (RCE) and 23 university-level research institutes and centres. It is also a partner for Singapore’s fifth RCE. The University shares a close affiliation with 16 national-level research institutes and centres. Research activities are strategic and robust, and NUS is well-known for its research strengths in engineering, life sciences and biomedicine, social sciences and natural sciences. Major research thrusts have been made recently in several fields such as quantum technology; cancer and translational medicine; interactive and digital media; and the environment and water. The University also strives to create a supportive and innovative environment to promote creative enterprise within its community.,NUS is actively involved in international academic and research networks such as the Association of Pacific Rim Universities (APRU) and International Alliance of Research Universities (IARU)."
University of Melbourne ,36,71.0,58.7,88.0,47.7,69.2,83.3,"The University of Melbourne is an internationally recognised research intensive university with a strong tradition of excellence in teaching, research and research training and community engagement. Established in 1853, it is Australia's second oldest university. Melbourne offers broad undergraduate degrees and world-leading graduate programs delivered through graduate schools in professional and scholarly disciplines to about 50,000 students each year."
Washington University in St Louis ,38,69.9,58.9,56.4,,63.0,88.6,"More than 20 Nobel prizewinners have been affiliated to ""Wash U"", a private research university founded by a group of businessmen in 1853. It has more than 11,000 full-time students on 90 programmes taught by around 3,200 academic staff on five extensive campuses surrounding St Louis."
Peking University ,37,70.7,76.4,68.6,98.6,61.3,72.2,"Marxism is one of the 39 schools, departments, colleges and institutes that make up today's PKU. It was founded in 1898 as an imperial university, given its current name in 1912 and merged with Beijing Medical University in 2000. Its Yan Yuan campus accommodates more than 30,000 students and 2,900 academics."
